Thema,Frage,OptionA,OptionB,OptionC,OptionD,OptionE,Korrekt
Baukunde und Recht,"Für welche Bereiche der Löschwasserversorgung ist die Gemeinde zuständig?","Löschwasserversorgung über die Sammelwasserversorgung (Hydranten)","Den Grundschutz in der Löschwasserversorgung","Den Objektschutz für Betriebe, wenn dieses die Baugenehmigung erfordert","Löschwasserversorgung über Bohrbrunnen, Löschwasserzisternen oder offene Wasserentnahmestellen","","A;B;D"
Baukunde und Recht,"Der Objektschutz beinhaltet das Vorhalten von Brandschutzeinrichtungen, die den Grundschutz der Kommune übersteigen. Dazu zählen das Vorhalten von Steigleitungen, ortsfeste Löschanlagen oder Löschwasserbevorratung oder – vorhaltung auf dem Grundstück.","Wahr","Falsch","","","","A"
Baukunde und Recht,"Wer stellt in der Regel die Brandsicherheitswache?","Der Veranstalter stellt die Brandsicherheitswache.","Die genehmigende Behörde (Ordnungsbehörde) stellt die Brandsicherheitswache.","Sie wird von der öffentlich zuständigen Feuerwehr gestellt.","","","C"
Baukunde und Recht,"Welche Mindestqualifikation (abgeschlossene Ausbildung) ist für die Teilnehmer der Brandsicherheitswache gefordert?","Truppmannausbildung","Gruppenführerausbildung","Truppführerausbildung","","","C"
Baukunde und Recht,"Wie verhält sich Beton unter Brandeinwirkung?","Spannbetonbauteile versagen unter Brandeinwirkung plötzlich.","Der Tragfähigkeitsverlust entsteht im Wesentlichen durch einen Abbrand von ca. 0,5 - 1 mm je Stunde.","Es entstehen Absprengungen und Abplatzungen durch den Natursteinanteil.","","","A;C"
Baukunde und Recht,"Welche Voraussetzungen müssen vorhanden sein, um einen Einsatz abrechnen zu können?","Der Einsatz stellt einen besonders hohen Aufwand dar.","Der Einsatz darf keine hoheitliche Aufgabe der Feuerwehr sein und nicht der unmittelbaren Gefahrenabwehr dienen.","Die Kommune muss über eine Gebührensatzung für den Einsatz der Feuerwehr verfügen.","","B;C"
Baukunde und Recht,"Welche Bereiche der Feuerwehr müssen betrachtet werden, um ihre Leistungsfähigkeit im Sinne des Organisationserlasses Feuerwehr zu beurteilen?","Grundfläche des Feuerwehrhauses.","Menge und Ausbildungsstand des Personals.","vorhandene Fahrzeuge in Zusammenhang mit der vorliegenden Risikoklasse des Ausrückebereiches.","","B;C"

Ausbildung und PSNV,"Was gehört zur stofflichen Vorbereitung einer Unterrichtseinheit?","Das Thema festlegen","Festlegen einer Ausbildungsmethode bzw. -form (z.B. Gruppenarbeit)","Die Kleiderordnung der Teilnehmenden festlegen","","","A"
Ausbildung und PSNV,"Was sind die Vorteile eines Lehrgesprächs?","Motivation der Teilnehmer.","Es werden keine Vorbereitungen benötigt.","Mitarbeit der Teilnehmer.","","","A;C"
Ausbildung und PSNV,"Was zählt zu einem motivierenden Unterricht?","Die Lösung selbst finden lassen.","Die Voraussetzungen für eine Teilnahme nennen.","Unaufmerksame Teilnehmer nicht beachten","","","A;B"
Ausbildung und PSNV,"Welche Quellen eignen sich für eine stoffliche Vorbereitung? (Auch wenn sie teilweise kritisch betrachtet werden müssen)","Merkblätter des Unfallversicherers","Beiträge aus dem Internet","Verpflegungsplan für die Teilnehmenden","","","A;B"
Ausbildung und PSNV,"Ab welchem Zeitraum spricht man von einer Traumafolgestörung?","Stunden","Monate/Jahre","Tage/Wochen","","","B"
Ausbildung und PSNV,"Ab welchem Zeitraum spricht man von einer Belastungsstörung / Traumafolgestörung?","Stunden","Tage","Monate/Jahre","","","C"
Ausbildung und PSNV,"In welche Bereiche (Kategorien) teilt sich das System PSNV auf?","PSNV-E (Einsatzkräfte)","PSNV-B (Betroffene)","Krisenintervention","Feuerwehrseelsorge","","A;B"
Ausbildung und PSNV,"Was können körperliche Reaktionen auf aussergewöhnliche Belastungen sein?","regelmäßig wiederkehrende Erinnerungen (Flashbacks)","Schlafprobleme","Blendempfindlichkeit","Müdigkeit, Erschöpfung","","A;B;D"
Ausbildung und PSNV,"Was sollte der Gruppenführer in Hinblick auf die PSNV an der Einsatzstelle tun?","PSNV Kräfte anfordern (PSNV E und PSNV B)","belastete Personen erkennen, auch Betroffene","Der PSNV Bereich wird vollständig durch PSNV Fachkräfte geregelt.","Ausschließlich die Einsatzleitung befindet über PSNV Maßnahmen.","","A;B"
Ausbildung und PSNV,"Was versteht man unter aussergewöhnlichen Belastungen?","Müdigkeit","persönliche Hilflosigkeit","Einsätze mit Kindern","Einsätze mit Kameradinnen oder Kameraden bzw. persönlichem Bezug","Lustlosigkeit","B;C;D"
Ausbildung und PSNV,"Wer stellt das Angebot PSNV-E zur Verfügung?","Die Kreisfeuerwehrverbände (KFV)","Der Landesfeuerwehrverband (LFV)","Die Kommune","Die Landesfeuerwehrschule (LFS)","","A"
Ausbildung und PSNV,"Was gehört zu einem motivierenden Unterricht?","Die Lösung selbst finden lassen.","Die Voraussetzungen für eine Teilnahme nennen.","Unaufmerksame Teilnehmer nicht beachten","","A;B"
